caseID,activity,startTime,endTime
9,f,0:01:52,0:01:53
9,k,0:01:53,0:01:54
9,e,0:01:54,0:01:55
9,d,0:01:55,0:01:56
9,n,0:01:56,0:01:57
9,o,0:01:57,0:01:58
10,a,0:01:58,0:01:59
10,c,0:01:59,0:02:00
10,b,0:02:00,0:02:01
10,c,0:02:01,0:02:02
10,i,0:02:02,0:02:03
10,g,0:02:03,0:02:04
10,e,0:02:04,0:02:05
10,h,0:02:05,0:02:06
10,j,0:02:06,0:02:07
10,c,0:02:07,0:02:08
10,i,0:02:08,0:02:09
10,f,0:02:09,0:02:10
10,k,0:02:10,0:02:11
10,n,0:02:11,0:02:12
10,d,0:02:12,0:02:13
10,o,0:02:13,0:02:14
11,a,0:02:14,0:02:15
11,e,0:02:15,0:02:16
11,c,0:02:16,0:02:17
11,g,0:02:17,0:02:18
11,j,0:02:18,0:02:19
11,h,0:02:19,0:02:20
11,c,0:02:20,0:02:21
11,f,0:02:21,0:02:22
11,d,0:02:22,0:02:23
11,n,0:02:23,0:02:24
11,o,0:02:24,0:02:25
12,a,0:02:25,0:02:26
12,e,0:02:26,0:02:27
12,j,0:02:27,0:02:28
12,h,0:02:28,0:02:29
12,f,0:02:29,0:02:30
12,e,0:02:30,0:02:31
12,d,0:02:31,0:02:32
12,n,0:02:32,0:02:33
12,o,0:02:33,0:02:34
13,a,0:02:34,0:02:35
13,b,0:02:35,0:02:36
13,j,0:02:36,0:02:37
13,g,0:02:37,0:02:38
13,i,0:02:38,0:02:39
13,e,0:02:39,0:02:40
13,e,0:02:40,0:02:41
13,h,0:02:41,0:02:42
13,e,0:02:42,0:02:43
13,f,0:02:43,0:02:44
13,b,0:02:44,0:02:45
13,d,0:02:45,0:02:46
13,n,0:02:46,0:02:47
13,c,0:02:47,0:02:48
13,e,0:02:48,0:02:49
13,o,0:02:49,0:02:50
14,a,0:02:50,0:02:51
14,j,0:02:51,0:02:52
14,g,0:02:52,0:02:53
14,h,0:02:53,0:02:54
14,i,0:02:54,0:02:55
14,f,0:02:55,0:02:56
14,d,0:02:56,0:02:57
14,k,0:02:57,0:02:58
14,n,0:02:58,0:02:59
14,o,0:02:59,0:03:00
15,a,0:03:00,0:03:01
15,c,0:03:01,0:03:02
15,j,0:03:02,0:03:03
15,c,0:03:03,0:03:04
15,h,0:03:04,0:03:05
15,e,0:03:05,0:03:06
15,f,0:03:06,0:03:07
15,l,0:03:07,0:03:08
15,d,0:03:08,0:03:09
15,d,0:03:09,0:03:10
15,n,0:03:10,0:03:11
15,o,0:03:11,0:03:12
16,a,0:03:12,0:03:13
16,b,0:03:13,0:03:14
16,g,0:03:14,0:03:15
16,j,0:03:15,0:03:16
16,c,0:03:16,0:03:17
16,h,0:03:17,0:03:18
16,f,0:03:18,0:03:19
16,d,0:03:19,0:03:20
16,d,0:03:20,0:03:21
16,n,0:03:21,0:03:22
16,o,0:03:22,0:03:23
17,a,0:03:23,0:03:24
17,c,0:03:24,0:03:25
17,b,0:03:25,0:03:26
17,c,0:03:26,0:03:27
17,j,0:03:27,0:03:28
17,e,0:03:28,0:03:29
17,c,0:03:29,0:03:30
17,e,0:03:30,0:03:31
17,h,0:03:31,0:03:32
17,e,0:03:32,0:03:33
17,g,0:03:33,0:03:34
17,k,0:03:34,0:03:35
17,d,0:03:35,0:03:36
17,f,0:03:36,0:03:37
17,m,0:03:37,0:03:38
17,d,0:03:38,0:03:39
17,n,0:03:39,0:03:40
17,m,0:03:40,0:03:41
17,o,0:03:41,0:03:42
18,a,0:03:42,0:03:43
18,d,0:03:43,0:03:44
18,e,0:03:44,0:03:45
18,g,0:03:45,0:03:46
18,e,0:03:46,0:03:47
18,j,0:03:47,0:03:48
18,i,0:03:48,0:03:49
18,c,0:03:49,0:03:50
18,d,0:03:50,0:03:51
18,k,0:03:51,0:03:52
18,h,0:03:52,0:03:53
18,d,0:03:53,0:03:54
18,f,0:03:54,0:03:55
18,m,0:03:55,0:03:56
18,n,0:03:56,0:03:57
18,d,0:03:57,0:03:58
18,o,0:03:58,0:03:59
19,a,0:03:59,0:04:00
19,b,0:04:00,0:04:01
19,j,0:04:01,0:04:02
19,g,0:04:02,0:04:03
19,k,0:04:03,0:04:04
19,i,0:04:04,0:04:05
19,f,0:04:05,0:04:06
19,n,0:04:06,0:04:07
19,d,0:04:07,0:04:08
19,m,0:04:08,0:04:09
19,m,0:04:09,0:04:10
19,o,0:04:10,0:04:11
20,a,0:04:11,0:04:12
20,c,0:04:12,0:04:13
20,e,0:04:13,0:04:14
20,j,0:04:14,0:04:15
20,h,0:04:15,0:04:16
20,k,0:04:16,0:04:17
20,f,0:04:17,0:04:18
20,n,0:04:18,0:04:19
20,o,0:04:19,0:04:20
21,a,0:04:20,0:04:21
21,c,0:04:21,0:04:22
21,b,0:04:22,0:04:23
21,j,0:04:23,0:04:24
21,b,0:04:24,0:04:25
21,h,0:04:25,0:04:26
21,c,0:04:26,0:04:27
21,c,0:04:27,0:04:28
21,e,0:04:28,0:04:29
21,c,0:04:29,0:04:30
21,f,0:04:30,0:04:31
21,d,0:04:31,0:04:32
21,n,0:04:32,0:04:33
21,m,0:04:33,0:04:34
21,o,0:04:34,0:04:35
22,a,0:04:35,0:04:36
22,e,0:04:36,0:04:37
22,j,0:04:37,0:04:38
22,c,0:04:38,0:04:39
22,b,0:04:39,0:04:40
22,e,0:04:40,0:04:41
22,e,0:04:41,0:04:42
22,e,0:04:42,0:04:43
22,h,0:04:43,0:04:44
22,c,0:04:44,0:04:45
22,f,0:04:45,0:04:46
22,b,0:04:46,0:04:47
22,d,0:04:47,0:04:48
22,d,0:04:48,0:04:49
22,c,0:04:49,0:04:50
22,m,0:04:50,0:04:51
22,e,0:04:51,0:04:52
22,o,0:04:52,0:04:53
23,a,0:04:53,0:04:54
23,e,0:04:54,0:04:55
23,c,0:04:55,0:04:56
23,i,0:04:56,0:04:57
23,j,0:04:57,0:04:58
23,h,0:04:58,0:04:59
23,k,0:04:59,0:05:00
23,f,0:05:00,0:05:01
23,d,0:05:01,0:05:02
23,n,0:05:02,0:05:03
23,o,0:05:03,0:05:04
24,a,0:05:04,0:05:05
24,b,0:05:05,0:05:06
24,j,0:05:06,0:05:07
24,g,0:05:07,0:05:08
24,h,0:05:08,0:05:09
24,d,0:05:09,0:05:10
24,f,0:05:10,0:05:11
24,d,0:05:11,0:05:12
24,d,0:05:12,0:05:13
24,l,0:05:13,0:05:14
24,n,0:05:14,0:05:15
24,o,0:05:15,0:05:16
25,a,0:05:16,0:05:17
25,c,0:05:17,0:05:18
25,g,0:05:18,0:05:19
25,h,0:05:19,0:05:20
25,c,0:05:20,0:05:21
25,i,0:05:21,0:05:22
25,j,0:05:22,0:05:23
25,e,0:05:23,0:05:24
25,d,0:05:24,0:05:25
25,f,0:05:25,0:05:26
25,d,0:05:26,0:05:27
25,n,0:05:27,0:05:28
25,e,0:05:28,0:05:29
25,o,0:05:29,0:05:30
26,a,0:05:30,0:05:31
26,e,0:05:31,0:05:32
26,i,0:05:32,0:05:33
26,j,0:05:33,0:05:34
26,e,0:05:34,0:05:35
26,h,0:05:35,0:05:36
26,k,0:05:36,0:05:37
26,g,0:05:37,0:05:38
26,e,0:05:38,0:05:39
26,k,0:05:39,0:05:40
26,e,0:05:40,0:05:41
26,n,0:05:41,0:05:42
26,o,0:05:42,0:05:43
27,a,0:05:43,0:05:44
27,c,0:05:44,0:05:45
27,e,0:05:45,0:05:46
27,b,0:05:46,0:05:47
27,g,0:05:47,0:05:48
27,c,0:05:48,0:05:49
27,h,0:05:49,0:05:50
27,i,0:05:50,0:05:51
27,d,0:05:51,0:05:52
27,f,0:05:52,0:05:53
27,d,0:05:53,0:05:54
27,n,0:05:54,0:05:55
27,o,0:05:55,0:05:56
28,a,0:05:56,0:05:57
28,j,0:05:57,0:05:58
28,g,0:05:58,0:05:59
28,h,0:05:59,0:06:00
28,e,0:06:00,0:06:01
28,j,0:06:01,0:06:02
28,f,0:06:02,0:06:03
28,l,0:06:03,0:06:04
28,d,0:06:04,0:06:05
28,k,0:06:05,0:06:06
28,d,0:06:06,0:06:07
28,n,0:06:07,0:06:08
28,e,0:06:08,0:06:09
28,o,0:06:09,0:06:10
29,a,0:06:10,0:06:11
29,c,0:06:11,0:06:12
29,j,0:06:12,0:06:13
29,h,0:06:13,0:06:14
29,f,0:06:14,0:06:15
29,n,0:06:15,0:06:16
29,d,0:06:16,0:06:17
29,o,0:06:17,0:06:18
30,a,0:06:18,0:06:19
30,g,0:06:19,0:06:20
30,h,0:06:20,0:06:21
30,k,0:06:21,0:06:22
30,f,0:06:22,0:06:23
30,d,0:06:23,0:06:24
30,n,0:06:24,0:06:25
30,o,0:06:25,0:06:26
31,a,0:06:26,0:06:27
31,j,0:06:27,0:06:28
31,d,0:06:28,0:06:29
31,f,0:06:29,0:06:30
31,k,0:06:30,0:06:31
31,d,0:06:31,0:06:32
31,n,0:06:32,0:06:33
31,o,0:06:33,0:06:34
32,a,0:06:34,0:06:35
32,e,0:06:35,0:06:36
32,b,0:06:36,0:06:37
32,j,0:06:37,0:06:38
32,g,0:06:38,0:06:39
32,e,0:06:39,0:06:40
32,e,0:06:40,0:06:41
32,e,0:06:41,0:06:42
32,f,0:06:42,0:06:43
32,h,0:06:43,0:06:44
32,e,0:06:44,0:06:45
32,d,0:06:45,0:06:46
32,n,0:06:46,0:06:47
32,e,0:06:47,0:06:48
32,o,0:06:48,0:06:49
33,a,0:06:49,0:06:50
33,e,0:06:50,0:06:51
33,h,0:06:51,0:06:52
33,e,0:06:52,0:06:53
33,f,0:06:53,0:06:54
33,n,0:06:54,0:06:55
33,o,0:06:55,0:06:56
34,a,0:06:56,0:06:57
34,b,0:06:57,0:06:58
34,c,0:06:58,0:06:59
34,j,0:06:59,0:07:00
34,g,0:07:00,0:07:01
34,e,0:07:01,0:07:02
34,e,0:07:02,0:07:03
34,e,0:07:03,0:07:04
34,e,0:07:04,0:07:05
34,e,0:07:05,0:07:06
34,h,0:07:06,0:07:07
34,b,0:07:07,0:07:08
34,c,0:07:08,0:07:09
34,k,0:07:09,0:07:10
34,d,0:07:10,0:07:11
34,d,0:07:11,0:07:12
34,f,0:07:12,0:07:13
34,n,0:07:13,0:07:14
34,o,0:07:14,0:07:15
35,a,0:07:15,0:07:16
35,c,0:07:16,0:07:17
35,e,0:07:17,0:07:18
35,j,0:07:18,0:07:19
35,h,0:07:19,0:07:20
35,k,0:07:20,0:07:21
35,i,0:07:21,0:07:22
35,f,0:07:22,0:07:23
35,d,0:07:23,0:07:24
35,e,0:07:24,0:07:25
35,d,0:07:25,0:07:26
35,n,0:07:26,0:07:27
35,o,0:07:27,0:07:28
36,a,0:07:28,0:07:29
36,e,0:07:29,0:07:30
36,j,0:07:30,0:07:31
36,g,0:07:31,0:07:32
36,i,0:07:32,0:07:33
36,e,0:07:33,0:07:34
36,h,0:07:34,0:07:35
36,c,0:07:35,0:07:36
36,f,0:07:36,0:07:37
36,e,0:07:37,0:07:38
36,k,0:07:38,0:07:39
36,d,0:07:39,0:07:40
36,n,0:07:40,0:07:41
36,o,0:07:41,0:07:42
37,a,0:07:42,0:07:43
37,g,0:07:43,0:07:44
37,h,0:07:44,0:07:45
37,f,0:07:45,0:07:46
37,d,0:07:46,0:07:47
37,k,0:07:47,0:07:48
37,d,0:07:48,0:07:49
37,n,0:07:49,0:07:50
37,o,0:07:50,0:07:51
38,a,0:07:51,0:07:52
38,c,0:07:52,0:07:53
38,e,0:07:53,0:07:54
38,c,0:07:54,0:07:55
38,h,0:07:55,0:07:56
38,e,0:07:56,0:07:57
38,d,0:07:57,0:07:58
38,f,0:07:58,0:07:59
38,e,0:07:59,0:08:00
38,d,0:08:00,0:08:01
38,c,0:08:01,0:08:02
38,o,0:08:02,0:08:03
39,a,0:08:03,0:08:04
39,c,0:08:04,0:08:05
39,j,0:08:05,0:08:06
39,h,0:08:06,0:08:07
39,k,0:08:07,0:08:08
39,f,0:08:08,0:08:09
39,e,0:08:09,0:08:10
39,k,0:08:10,0:08:11
39,d,0:08:11,0:08:12
39,n,0:08:12,0:08:13
39,m,0:08:13,0:08:14
39,o,0:08:14,0:08:15
40,a,0:08:15,0:08:16
40,e,0:08:16,0:08:17
40,i,0:08:17,0:08:18
40,g,0:08:18,0:08:19
40,c,0:08:19,0:08:20
40,b,0:08:20,0:08:21
40,c,0:08:21,0:08:22
40,c,0:08:22,0:08:23
40,h,0:08:23,0:08:24
40,e,0:08:24,0:08:25
40,d,0:08:25,0:08:26
40,k,0:08:26,0:08:27
40,f,0:08:27,0:08:28
40,d,0:08:28,0:08:29
40,n,0:08:29,0:08:30
40,o,0:08:30,0:08:31
41,a,0:08:31,0:08:32
41,e,0:08:32,0:08:33
41,c,0:08:33,0:08:34
41,j,0:08:34,0:08:35
41,h,0:08:35,0:08:36
41,k,0:08:36,0:08:37
41,f,0:08:37,0:08:38
41,d,0:08:38,0:08:39
41,n,0:08:39,0:08:40
41,o,0:08:40,0:08:41
42,a,0:08:41,0:08:42
42,c,0:08:42,0:08:43
42,e,0:08:43,0:08:44
42,j,0:08:44,0:08:45
42,i,0:08:45,0:08:46
42,g,0:08:46,0:08:47
42,e,0:08:47,0:08:48
42,h,0:08:48,0:08:49
42,f,0:08:49,0:08:50
42,d,0:08:50,0:08:51
42,d,0:08:51,0:08:52
42,n,0:08:52,0:08:53
42,o,0:08:53,0:08:54
43,a,0:08:54,0:08:55
43,c,0:08:55,0:08:56
43,j,0:08:56,0:08:57
43,g,0:08:57,0:08:58
43,c,0:08:58,0:08:59
43,e,0:08:59,0:09:00
43,c,0:09:00,0:09:01
43,h,0:09:01,0:09:02
43,e,0:09:02,0:09:03
43,g,0:09:03,0:09:04
43,f,0:09:04,0:09:05
43,d,0:09:05,0:09:06
43,n,0:09:06,0:09:07
43,o,0:09:07,0:09:08
44,a,0:09:08,0:09:09
44,b,0:09:09,0:09:10
44,e,0:09:10,0:09:11
44,j,0:09:11,0:09:12
44,k,0:09:12,0:09:13
44,l,0:09:13,0:09:14
44,d,0:09:14,0:09:15
44,f,0:09:15,0:09:16
44,c,0:09:16,0:09:17
44,d,0:09:17,0:09:18
44,d,0:09:18,0:09:19
44,n,0:09:19,0:09:20
44,o,0:09:20,0:09:21
45,a,0:09:21,0:09:22
45,c,0:09:22,0:09:23
45,c,0:09:23,0:09:24
45,j,0:09:24,0:09:25
45,c,0:09:25,0:09:26
45,e,0:09:26,0:09:27
45,h,0:09:27,0:09:28
45,c,0:09:28,0:09:29
45,i,0:09:29,0:09:30
45,e,0:09:30,0:09:31
45,g,0:09:31,0:09:32
45,d,0:09:32,0:09:33
45,f,0:09:33,0:09:34
45,n,0:09:34,0:09:35
45,o,0:09:35,0:09:36
46,a,0:09:36,0:09:37
46,c,0:09:37,0:09:38
46,e,0:09:38,0:09:39
46,c,0:09:39,0:09:40
46,h,0:09:40,0:09:41
46,g,0:09:41,0:09:42
46,i,0:09:42,0:09:43
46,f,0:09:43,0:09:44
46,d,0:09:44,0:09:45
46,d,0:09:45,0:09:46
46,n,0:09:46,0:09:47
46,d,0:09:47,0:09:48
46,o,0:09:48,0:09:49
47,a,0:09:49,0:09:50
47,e,0:09:50,0:09:51
47,h,0:09:51,0:09:52
47,k,0:09:52,0:09:53
47,f,0:09:53,0:09:54
47,l,0:09:54,0:09:55
47,d,0:09:55,0:09:56
47,o,0:09:56,0:09:57
48,a,0:09:57,0:09:58
48,e,0:09:58,0:09:59
48,j,0:09:59,0:10:00
48,e,0:10:00,0:10:01
48,h,0:10:01,0:10:02
48,e,0:10:02,0:10:03
48,f,0:10:03,0:10:04
48,l,0:10:04,0:10:05
48,n,0:10:05,0:10:06
48,o,0:10:06,0:10:07
49,a,0:10:07,0:10:08
49,e,0:10:08,0:10:09
49,j,0:10:09,0:10:10
49,h,0:10:10,0:10:11
49,b,0:10:11,0:10:12
49,k,0:10:12,0:10:13
49,f,0:10:13,0:10:14
49,e,0:10:14,0:10:15
49,l,0:10:15,0:10:16
49,d,0:10:16,0:10:17
49,l,0:10:17,0:10:18
49,n,0:10:18,0:10:19
49,o,0:10:19,0:10:20
50,a,0:10:20,0:10:21
50,j,0:10:21,0:10:22
50,b,0:10:22,0:10:23
50,g,0:10:23,0:10:24
50,c,0:10:24,0:10:25
50,h,0:10:25,0:10:26
50,f,0:10:26,0:10:27
50,m,0:10:27,0:10:28
50,d,0:10:28,0:10:29
50,n,0:10:29,0:10:30
50,d,0:10:30,0:10:31
50,o,0:10:31,0:10:32
51,a,0:10:32,0:10:33
51,c,0:10:33,0:10:34
51,j,0:10:34,0:10:35
51,e,0:10:35,0:10:36
51,h,0:10:36,0:10:37
51,k,0:10:37,0:10:38
51,d,0:10:38,0:10:39
51,f,0:10:39,0:10:40
51,d,0:10:40,0:10:41
51,n,0:10:41,0:10:42
51,o,0:10:42,0:10:43
52,a,0:10:43,0:10:44
52,c,0:10:44,0:10:45
52,b,0:10:45,0:10:46
52,h,0:10:46,0:10:47
52,c,0:10:47,0:10:48
52,j,0:10:48,0:10:49
52,g,0:10:49,0:10:50
52,e,0:10:50,0:10:51
52,h,0:10:51,0:10:52
52,e,0:10:52,0:10:53
52,g,0:10:53,0:10:54
52,k,0:10:54,0:10:55
52,f,0:10:55,0:10:56
52,d,0:10:56,0:10:57
52,e,0:10:57,0:10:58
52,n,0:10:58,0:10:59
52,o,0:10:59,0:11:00
53,a,0:11:00,0:11:01
53,e,0:11:01,0:11:02
53,c,0:11:02,0:11:03
53,j,0:11:03,0:11:04
53,e,0:11:04,0:11:05
53,h,0:11:05,0:11:06
53,k,0:11:06,0:11:07
53,d,0:11:07,0:11:08
53,f,0:11:08,0:11:09
53,d,0:11:09,0:11:10
53,n,0:11:10,0:11:11
53,e,0:11:11,0:11:12
53,o,0:11:12,0:11:13
54,a,0:11:13,0:11:14
54,e,0:11:14,0:11:15
54,e,0:11:15,0:11:16
54,j,0:11:16,0:11:17
54,h,0:11:17,0:11:18
54,f,0:11:18,0:11:19
54,d,0:11:19,0:11:20
54,o,0:11:20,0:11:21
55,a,0:11:21,0:11:22
55,c,0:11:22,0:11:23
55,j,0:11:23,0:11:24
55,g,0:11:24,0:11:25
55,i,0:11:25,0:11:26
55,d,0:11:26,0:11:27
55,h,0:11:27,0:11:28
55,d,0:11:28,0:11:29
55,e,0:11:29,0:11:30
55,f,0:11:30,0:11:31
55,c,0:11:31,0:11:32
55,d,0:11:32,0:11:33
55,k,0:11:33,0:11:34
55,d,0:11:34,0:11:35
55,n,0:11:35,0:11:36
55,o,0:11:36,0:11:37
56,a,0:11:37,0:11:38
56,b,0:11:38,0:11:39
56,c,0:11:39,0:11:40
56,g,0:11:40,0:11:41
56,g,0:11:41,0:11:42
56,h,0:11:42,0:11:43
56,i,0:11:43,0:11:44
56,k,0:11:44,0:11:45
56,g,0:11:45,0:11:46
56,f,0:11:46,0:11:47
56,d,0:11:47,0:11:48
56,d,0:11:48,0:11:49
56,n,0:11:49,0:11:50
56,o,0:11:50,0:11:51
57,a,0:11:51,0:11:52
57,c,0:11:52,0:11:53
57,c,0:11:53,0:11:54
57,e,0:11:54,0:11:55
57,c,0:11:55,0:11:56
57,h,0:11:56,0:11:57
57,c,0:11:57,0:11:58
57,i,0:11:58,0:11:59
57,g,0:11:59,0:12:00
57,f,0:12:00,0:12:01
57,d,0:12:01,0:12:02
57,d,0:12:02,0:12:03
57,n,0:12:03,0:12:04
57,o,0:12:04,0:12:05
58,a,0:12:05,0:12:06
58,c,0:12:06,0:12:07
58,h,0:12:07,0:12:08
58,c,0:12:08,0:12:09
58,e,0:12:09,0:12:10
58,c,0:12:10,0:12:11
58,j,0:12:11,0:12:12
58,f,0:12:12,0:12:13
58,d,0:12:13,0:12:14
58,d,0:12:14,0:12:15
58,n,0:12:15,0:12:16
58,o,0:12:16,0:12:17
59,a,0:12:17,0:12:18
59,c,0:12:18,0:12:19
59,b,0:12:19,0:12:20
59,h,0:12:20,0:12:21
59,c,0:12:21,0:12:22
59,b,0:12:22,0:12:23
59,c,0:12:23,0:12:24
59,c,0:12:24,0:12:25
59,c,0:12:25,0:12:26
59,f,0:12:26,0:12:27
59,d,0:12:27,0:12:28
59,n,0:12:28,0:12:29
59,e,0:12:29,0:12:30
59,o,0:12:30,0:12:31
60,a,0:12:31,0:12:32
60,e,0:12:32,0:12:33
60,g,0:12:33,0:12:34
60,j,0:12:34,0:12:35
60,i,0:12:35,0:12:36
60,h,0:12:36,0:12:37
60,f,0:12:37,0:12:38
60,l,0:12:38,0:12:39
60,d,0:12:39,0:12:40
60,d,0:12:40,0:12:41
60,o,0:12:41,0:12:42
61,a,0:12:42,0:12:43
61,c,0:12:43,0:12:44
61,h,0:12:44,0:12:45
61,i,0:12:45,0:12:46
61,f,0:12:46,0:12:47
61,e,0:12:47,0:12:48
61,d,0:12:48,0:12:49
61,n,0:12:49,0:12:50
61,o,0:12:50,0:12:51
62,a,0:12:51,0:12:52
62,c,0:12:52,0:12:53
62,j,0:12:53,0:12:54
62,g,0:12:54,0:12:55
62,h,0:12:55,0:12:56
62,i,0:12:56,0:12:57
62,k,0:12:57,0:12:58
62,f,0:12:58,0:12:59
62,d,0:12:59,0:13:00
62,d,0:13:00,0:13:01
62,n,0:13:01,0:13:02
62,o,0:13:02,0:13:03
63,a,0:13:03,0:13:04
63,b,0:13:04,0:13:05
63,j,0:13:05,0:13:06
63,g,0:13:06,0:13:07
63,c,0:13:07,0:13:08
63,c,0:13:08,0:13:09
63,h,0:13:09,0:13:10
63,e,0:13:10,0:13:11
63,f,0:13:11,0:13:12
63,d,0:13:12,0:13:13
63,n,0:13:13,0:13:14
63,o,0:13:14,0:13:15
64,a,0:13:15,0:13:16
64,e,0:13:16,0:13:17
64,c,0:13:17,0:13:18
64,j,0:13:18,0:13:19
64,b,0:13:19,0:13:20
64,h,0:13:20,0:13:21
64,k,0:13:21,0:13:22
64,d,0:13:22,0:13:23
64,f,0:13:23,0:13:24
64,o,0:13:24,0:13:25
65,a,0:13:25,0:13:26
65,e,0:13:26,0:13:27
65,j,0:13:27,0:13:28
65,b,0:13:28,0:13:29
65,i,0:13:29,0:13:30
65,g,0:13:30,0:13:31
65,c,0:13:31,0:13:32
65,h,0:13:32,0:13:33
65,i,0:13:33,0:13:34
65,d,0:13:34,0:13:35
65,f,0:13:35,0:13:36
65,d,0:13:36,0:13:37
65,n,0:13:37,0:13:38
65,o,0:13:38,0:13:39
66,a,0:13:39,0:13:40
66,c,0:13:40,0:13:41
66,j,0:13:41,0:13:42
66,g,0:13:42,0:13:43
66,e,0:13:43,0:13:44
66,h,0:13:44,0:13:45
66,e,0:13:45,0:13:46
66,f,0:13:46,0:13:47
66,d,0:13:47,0:13:48
66,n,0:13:48,0:13:49
66,o,0:13:49,0:13:50
67,a,0:13:50,0:13:51
67,j,0:13:51,0:13:52
67,g,0:13:52,0:13:53
67,e,0:13:53,0:13:54
67,h,0:13:54,0:13:55
67,b,0:13:55,0:13:56
67,f,0:13:56,0:13:57
67,d,0:13:57,0:13:58
67,n,0:13:58,0:13:59
67,o,0:13:59,0:14:00
68,a,0:14:00,0:14:01
68,i,0:14:01,0:14:02
68,j,0:14:02,0:14:03
68,e,0:14:03,0:14:04
68,h,0:14:04,0:14:05
68,i,0:14:05,0:14:06
68,f,0:14:06,0:14:07
68,e,0:14:07,0:14:08
68,k,0:14:08,0:14:09
68,n,0:14:09,0:14:10
68,o,0:14:10,0:14:11
69,a,0:14:11,0:14:12
69,c,0:14:12,0:14:13
69,j,0:14:13,0:14:14
69,c,0:14:14,0:14:15
69,e,0:14:15,0:14:16
69,h,0:14:16,0:14:17
69,k,0:14:17,0:14:18
69,d,0:14:18,0:14:19
69,f,0:14:19,0:14:20
69,e,0:14:20,0:14:21
69,d,0:14:21,0:14:22
69,l,0:14:22,0:14:23
69,n,0:14:23,0:14:24
69,o,0:14:24,0:14:25
70,a,0:14:25,0:14:26
70,c,0:14:26,0:14:27
70,e,0:14:27,0:14:28
70,b,0:14:28,0:14:29
70,j,0:14:29,0:14:30
70,g,0:14:30,0:14:31
70,h,0:14:31,0:14:32
70,k,0:14:32,0:14:33
